geometry,Dmax,Nfaces,host_mean,host_std,init_mean,init_std,storage_MB,n_runs
Hex1125,8,8,0.8215578499999999,0.0029835315132245533,0.30086722,0.0019423519356749448,7.62511,100
Hex1125,8,9,0.83349872,0.0029772351253327576,0.28695148,0.0018130436459782837,7.06495,100
Hex1125,8,10,0.86050773,0.003718857723111687,0.2609345,0.0017272557173537747,6.43518,100
Hex1125,8,11,0.86242962,0.004039576664938941,0.26023472999999997,0.0014475848005027071,6.35002,100
Hex1125,8,12,0.88891704,0.004274301984292793,0.10550852000000001,0.0009716164858397355,2.51364,100
Hex1125,8,13,0.89147548,0.0038568319088771977,0.09838796,0.0007237248335848881,2.27319,100
Hex1125,8,14,0.9069891,0.00426564288735288,0.09455591999999999,0.0007648748452452133,2.13617,100
Hex1125,8,15,0.9258789000000001,0.0033249377802335306,0.08323917,0.0006501403586608016,1.84244,100
Hex1125,8,16,0.93026285,0.003713064606932196,0.08001911,0.0007296853326931239,1.73842,100
Hex1944,4,1,1.9230469,0.004289534526559433,0.023099820000000004,0.0003169392568383611,0.28652,100
Hex1944,4,2,1.923305,0.005238326608428086,0.023176489999999998,0.0002875367871062656,0.28652,100
Hex1944,4,3,1.9200849,0.004861308901142083,0.02323029,0.0003976699635363349,0.28652,100
Hex1944,4,4,1.9252261,0.015804049212307904,0.023267000000000003,0.0003108861560446234,0.28652,100
Hex1944,4,5,1.9188218000000001,0.004504628232734811,0.023253569999999998,0.0003101377750209568,0.28652,100
Hex1944,4,6,1.9219755,0.0044258472623780205,0.02343978,0.00033128771041302917,0.28652,100
Hex1944,4,7,1.9219106,0.003947088639399012,0.023603930000000002,0.00023952065999753862,0.28652,100
Hex1944,4,8,1.9225356,0.008488385805072572,0.02327858,0.00031809931680771533,0.28652,100
Hex1944,4,9,1.9229794,0.012009264590306944,0.02336049,0.00036039250474274225,0.28652,100
Hex1944,4,10,1.9175369,0.0038791784757168154,0.02327785,0.00031548283902166796,0.28652,100
Hex1944,4,11,1.9175201999999998,0.00388512625537472,0.023303820000000003,0.00029800787665002176,0.28652,100
Hex1944,4,12,1.9169675000000002,0.0038487587858839906,0.02335377,0.0003231990928767647,0.28652,100
Hex1944,4,13,1.9173506,0.003805123823626679,0.023294660000000002,0.00032113435999861034,0.28652,100
Hex1944,4,14,1.9157782,0.0040664623346579575,0.02338291,0.00030311877510009485,0.28652,100
Hex1944,4,15,1.9152969999999998,0.008777027349331279,0.02341264,0.00031910184941963334,0.28652,100
Hex1944,4,16,1.9166721000000002,0.003924621141079748,0.02331277,0.00030049789844472616,0.28652,100
Hex1944,5,1,1.1535379000000001,0.004716546479890724,0.07333647,0.0008721431104764378,1.47886,100
Hex1944,5,2,1.1533422,0.004809466376666213,0.07300830999999999,0.0008017017089928272,1.47886,100
Hex1944,5,3,1.1530791999999999,0.004229841002814516,0.07304164,0.0006495408404668202,1.47886,100
Hex1944,5,4,1.1559561999999999,0.012592897130581756,0.07336068,0.0010637881793407235,1.47886,100
Hex1944,5,5,1.1555419999999998,0.00927748246067222,0.07314905000000001,0.0007451132972626214,1.47886,100
Hex1944,5,6,1.1537677,0.004655946313125517,0.07304108000000001,0.0006938953677710654,1.47886,100
Hex1944,5,7,1.1533204000000001,0.004647396560212908,0.07327672,0.0006757181152767276,1.47886,100
Hex1944,5,8,1.1538226,0.009424059004548527,0.07314939,0.000702356421863809,1.47886,100
Hex1944,5,9,1.1533449,0.004753015309816871,0.07326259,0.0007356417674384726,1.47886,100
Hex1944,5,10,1.1541173,0.008345291523737305,0.0730705,0.0006219693795444509,1.47886,100
Hex1944,5,11,1.1536376,0.006678110952881063,0.07323169,0.0007563795970598916,1.47886,100
Hex1944,5,12,1.1537469,0.00430457818180043,0.07328655,0.0007657739647908615,1.47886,100
Hex1944,5,13,1.1547443,0.012988816810291588,0.0732962,0.0006189046694758317,1.47886,100
Hex1944,5,14,1.1552251,0.012149185490011559,0.07315237,0.0006677946314533983,1.47886,100
Hex1944,5,15,1.153422,0.004535532888852037,0.07326753,0.0007153445373886046,1.47886,100
Hex1944,5,16,1.1532835,0.004662114094301294,0.0730864,0.0006648588366918753,1.47886,100
Hex1944,6,1,0.97043181,0.016587403637953226,0.33103294,0.002186814281880002,10.2205,100
Hex1944,6,2,0.9716053499999999,0.004160639153927187,0.32734187,0.0021204004131819615,10.0638,100
Hex1944,6,3,0.97632418,0.00972475943498259,0.31642016,0.002187125925164176,9.56058,100
Hex1944,6,4,0.9809342700000001,0.003256657113149353,0.30028057,0.0017858826200017274,9.15812,100
Hex1944,6,5,0.98146849,0.0023040403927041147,0.28750353,0.0016094347803568244,8.59006,100
Hex1944,6,6,0.9846731900000001,0.0030283681197281584,0.27504153,0.001204505518686178,8.08612,100
Hex1944,6,7,0.98985,0.003872776520766204,0.23549034,0.001914029058496155,6.73204,100
Hex1944,6,8,0.99240279,0.0038500541155714026,0.22311334,0.0014859193611629095,6.2821,100
Hex1944,6,9,0.99486821,0.009873155975424003,0.21086829,0.0015246161318161167,5.71438,100
Hex1944,6,10,0.9958311999999999,0.00925190664488443,0.20199801999999997,0.0015595188067756244,5.39136,100
Hex1944,6,11,0.9999438,0.004866109179360296,0.19749583,0.0013279400471361196,5.23642,100
Hex1944,6,12,1.00290163,0.004188520974356731,0.18708662,0.0012944363289466843,4.85834,100
